ID,Name,Age,City,Salary
70,Bob,57,Los Angeles,50009.94
71,Eva,47,Houston,64451.0
72,David,37,Houston,59534.75
73,David,44,Houston,84320.23
74,Alice,48,Los Angeles,104663.76
75,Charlie,64,Phoenix,98462.99
76,Alice,52,New York,80642.81
77,Eva,33,Chicago,95474.21
78,David,48,Houston,107536.73
79,David,30,Phoenix,67559.46
80,Charlie,48,Los Angeles,71711.82
81,Bob,39,Houston,53982.17
82,Bob,55,Houston,43569.72
83,Eva,46,New York,77172.32
84,David,21,Chicago,63957.63
85,Bob,61,Los Angeles,92789.25
86,Alice,35,New York,81275.37
87,Charlie,42,Houston,66614.24
88,Alice,46,New York,89398.29
89,Bob,35,Phoenix,83246.46
90,Alice,50,Chicago,73303.46
91,Bob,18,Houston,34960.71
92,Eva,61,New York,118675.8
93,Charlie,54,Houston,71837.63
94,Alice,60,New York,35603.62
95,Eva,20,Chicago,89189.67
96,Bob,40,Los Angeles,91682.49
97,David,58,Houston,84722.33
98,Bob,49,Phoenix,34417.99
99,David,21,Chicago,31926.53
100,Charlie,58,Phoenix,57776.54
101,Alice,22,New York,80507.82
102,David,18,New York,104601.29
103,David,46,Los Angeles,38762.67
104,Alice,46,Los Angeles,88526.64
105,Bob,50,New York,40611.72
106,Bob,62,Phoenix,113682.49
107,Eva,32,Houston,70630.52
108,Charlie,33,Chicago,83192.14
109,Alice,58,Phoenix,81176.83
110,Eva,24,Phoenix,104406.95
111,Alice,48,Houston,49932.25
112,David,49,Los Angeles,90766.53
113,Eva,50,Los Angeles,62770.26
114,Bob,36,Phoenix,80105.39
115,Alice,36,Los Angeles,119073.74
116,Eva,23,Chicago,64885.47
117,Alice,64,New York,35465.77
118,Bob,31,Phoenix,33657.57
119,David,61,Los Angeles,99695.0
120,Bob,30,Phoenix,113641.27
121,Charlie,43,Houston,99471.24
122,Alice,34,Chicago,49791.92
123,David,30,Los Angeles,68979.38
124,David,41,Phoenix,97630.14
125,Charlie,43,New York,109393.38
126,Bob,36,Houston,98696.2
127,David,19,New York,57751.57
128,Eva,23,Houston,61597.47
129,Bob,50,New York,47822.25
130,Eva,35,Phoenix,34788.79
131,Alice,20,Phoenix,52417.48
132,Charlie,39,Los Angeles,56785.77
133,David,32,Houston,70649.88
134,Bob,31,Chicago,106756.07
135,Eva,39,Los Angeles,38626.51
136,Eva,22,Phoenix,79141.53
137,Alice,19,Phoenix,71814.86
138,David,59,Chicago,117680.8
139,Eva,49,New York,110697.6
140,Bob,53,Houston,31283.8
141,Eva,58,Los Angeles,42378.46
142,Alice,61,Phoenix,45962.0
143,Bob,27,Houston,43622.6
144,Bob,27,New York,41813.56
145,Bob,22,Los Angeles,110319.28
146,Eva,43,Los Angeles,45061.04
147,Alice,42,Houston,117414.89
148,Bob,51,New York,85993.84
149,Bob,20,Chicago,73590.43
150,Eva,62,Los Angeles,90356.07
151,Bob,43,New York,57845.65
152,Charlie,18,Chicago,81632.74
153,Eva,27,Houston,74555.34
154,Eva,25,Houston,79605.62
155,Bob,22,Houston,105757.93
156,David,30,Los Angeles,98273.82
157,David,42,Los Angeles,106802.52
158,David,47,Los Angeles,30511.55
159,Bob,35,Los Angeles,62484.15
160,Charlie,37,Chicago,83761.56
161,David,56,Houston,78627.24
162,Bob,46,Phoenix,115292.08
163,Eva,53,Los Angeles,60553.09
164,Bob,58,New York,52930.87
165,Alice,30,Los Angeles,84883.73
166,David,61,New York,53256.6
167,Eva,51,Los Angeles,47760.13
168,Eva,61,Houston,117889.18
169,David,61,Chicago,74773.24
170,David,48,Houston,53246.05
171,Alice,55,Los Angeles,84616.0
172,David,44,Chicago,88912.08
173,Bob,25,Houston,91423.32
174,Alice,50,New York,118777.95
175,Alice,57,New York,119409.12
176,Bob,64,Los Angeles,36592.74
177,Charlie,47,Houston,67845.01
178,Bob,33,New York,112290.8
179,Charlie,28,Phoenix,92450.46
180,Bob,42,Phoenix,93293.15
181,Bob,37,Los Angeles,70464.57
182,Charlie,45,Chicago,97414.52
183,Charlie,25,New York,82541.44
184,Alice,18,Phoenix,109846.39
185,Eva,45,Houston,94201.45
186,Bob,49,Phoenix,106825.87
187,Charlie,18,New York,56838.52
188,Alice,64,New York,111571.57
189,Bob,64,Chicago,71994.28
190,David,64,New York,79470.44
191,Alice,23,Phoenix,65230.91
192,David,42,New York,117624.91
193,Alice,19,Chicago,115810.65
194,Bob,46,Chicago,33872.51
195,Charlie,19,Los Angeles,40883.53
196,Bob,33,Chicago,84782.25
197,Charlie,37,Houston,65128.33
198,Alice,45,New York,103556.71
199,Charlie,60,Los Angeles,71983.49
200,Eva,64,New York,52483.71
201,Alice,19,Houston,119120.54
202,David,46,Phoenix,49129.72
203,Alice,22,New York,68992.03
204,Eva,37,Chicago,65738.37
205,Eva,43,Los Angeles,84791.33
206,Charlie,53,Houston,112066.86
207,Charlie,49,Chicago,82687.01
208,Alice,42,Chicago,95057.91
209,Bob,34,New York,52152.61
210,Charlie,45,New York,57872.54
211,Charlie,21,Chicago,90390.87
212,Eva,42,Houston,92846.32
213,Eva,55,Houston,37552.22
214,Charlie,22,New York,31976.25
215,Alice,30,Los Angeles,56508.38
216,Alice,39,Phoenix,43620.39
217,Bob,55,Los Angeles,47314.44
218,David,46,Los Angeles,51798.61
219,David,28,New York,100430.35
220,David,44,Los Angeles,48230.88
221,David,18,Houston,51501.38
222,Charlie,39,Chicago,93417.12
223,Charlie,37,New York,43100.07
224,Charlie,28,Phoenix,30032.23
225,Charlie,48,Phoenix,111530.33
226,Alice,23,Los Angeles,50184.97
227,Alice,31,Phoenix,36752.28
228,Eva,48,Houston,36651.83
229,Bob,50,Phoenix,71031.55
230,Bob,29,Chicago,86598.22
231,Charlie,47,Chicago,85215.6
232,Eva,21,Houston,104813.5
233,Alice,62,Los Angeles,50815.89
234,Alice,50,New York,95245.29
235,David,28,New York,39339.66
236,Bob,51,Phoenix,57047.08
237,David,27,Houston,117642.5
238,David,18,Chicago,90452.42
239,Bob,26,Phoenix,95103.83
240,Bob,51,Phoenix,56746.13
241,Eva,23,Los Angeles,104353.68
242,Charlie,63,Los Angeles,53412.95
243,Bob,24,Los Angeles,69296.92
244,Bob,23,Chicago,87412.96
245,Eva,51,Houston,106049.7
246,David,49,Los Angeles,32297.11
247,Alice,55,New York,45414.16
248,Bob,44,Phoenix,77239.38
249,Eva,40,Houston,96519.16
250,David,61,Houston,58925.34
251,Bob,40,Phoenix,76266.69
252,Bob,34,Chicago,112855.8
253,Alice,33,Chicago,103485.23
254,David,31,New York,50552.29
255,David,51,Chicago,37087.77
256,Bob,29,Chicago,84317.64
257,Charlie,55,Chicago,64539.14
258,Alice,44,Phoenix,54523.32
259,David,23,Houston,79840.76
260,Eva,22,Los Angeles,81051.12
261,Alice,32,Phoenix,32222.15
262,Charlie,32,New York,52829.92
263,David,57,Phoenix,41585.6
264,Alice,55,Houston,44458.05
265,Bob,36,Houston,101163.52
266,Bob,60,Los Angeles,54177.03
267,Alice,36,New York,91932.61
268,David,33,Phoenix,99066.57
269,Charlie,48,Houston,37932.02
270,Alice,54,Phoenix,40843.33
271,Bob,18,New York,54148.93
272,Charlie,43,Houston,94721.85
273,Alice,21,Phoenix,110929.62
274,Bob,49,Houston,109513.76
275,Charlie,38,Chicago,93720.59
276,Charlie,63,Phoenix,38794.34
277,Eva,25,New York,68093.36
278,Bob,42,Houston,46872.58
279,David,42,Houston,83435.61
280,Bob,18,Houston,43508.71
281,Alice,24,Houston,94145.93
282,David,56,New York,45143.79
283,Eva,45,Phoenix,73014.59
284,David,52,Houston,112043.18
285,David,18,Phoenix,94391.26
286,Alice,58,Los Angeles,100334.5
287,Bob,36,Houston,57598.4
288,Alice,25,New York,90658.38
289,Charlie,21,New York,99689.97
290,Bob,58,Los Angeles,47167.32
291,Alice,57,New York,87744.21
292,Bob,27,New York,91645.07
293,Charlie,23,Los Angeles,31754.97
294,David,59,Houston,92123.02
295,Bob,44,Los Angeles,92816.88
296,Eva,53,New York,48266.76
297,Alice,60,Chicago,35376.66
298,David,56,Los Angeles,70098.87
299,Eva,61,New York,76448.71
300,David,21,New York,103545.02
301,Eva,58,Houston,86597.06
302,David,41,New York,38179.41
303,Alice,21,Houston,71492.5
304,Alice,50,New York,57852.31
305,David,19,New York,96466.35
306,Charlie,27,New York,92065.29
307,Bob,54,Los Angeles,108843.29
308,Eva,38,Chicago,106252.84
309,Eva,25,New York,94741.7
310,Charlie,21,Phoenix,118789.7
311,Eva,58,New York,84321.94
312,Bob,61,Houston,67552.05
313,Eva,41,Houston,78999.7
314,Bob,63,New York,114323.19
315,Charlie,27,Phoenix,90989.84
316,Alice,42,Chicago,77849.67
317,Alice,29,Houston,90259.18
318,David,18,Chicago,43320.49
319,Charlie,51,Houston,107619.45
320,Charlie,30,Chicago,101344.26
321,Eva,50,Los Angeles,55195.04
322,Alice,60,Phoenix,48917.51
323,Alice,39,Los Angeles,88797.46
324,Eva,59,Los Angeles,70545.63
325,David,64,Chicago,42832.75
326,Alice,33,Chicago,81019.41
327,Eva,55,Los Angeles,85909.14
328,Charlie,54,Los Angeles,110255.56
329,Alice,53,Chicago,35628.81
330,Alice,21,Chicago,74838.52
331,David,28,Los Angeles,100459.3
332,Charlie,38,Los Angeles,114549.82
333,Bob,56,Chicago,41035.96
334,Charlie,48,New York,108392.13
335,Charlie,50,Phoenix,63432.25
336,Bob,53,Houston,84590.68
337,Bob,57,Houston,103617.26
338,David,49,Houston,33327.57
339,Bob,22,New York,75627.63
340,Eva,44,Los Angeles,61748.41
341,David,47,Los Angeles,101657.09
342,Bob,38,Chicago,81851.1
343,Alice,57,Los Angeles,106885.92
344,Eva,62,Phoenix,75837.52
345,Alice,23,New York,65412.25
346,David,27,Houston,78336.46
347,Charlie,45,Phoenix,91881.01
348,Alice,43,Los Angeles,50900.9
349,David,34,Phoenix,71928.77
350,Bob,47,Chicago,90048.93
351,Charlie,31,New York,36079.83
352,Eva,30,Houston,91926.65
353,Alice,35,Houston,90932.07
354,Charlie,39,Phoenix,51354.72
355,Eva,50,New York,106831.27
356,Charlie,20,Los Angeles,35950.83
357,Charlie,52,Houston,91120.68
358,David,23,Los Angeles,52910.95
359,Charlie,48,Chicago,33423.04
360,Charlie,51,Chicago,67676.87
361,Alice,59,Los Angeles,41929.33
362,David,35,Chicago,55721.89
363,Eva,61,Chicago,112410.37
364,David,62,Houston,102935.27
365,Bob,44,New York,101423.86
366,David,54,Chicago,74913.52
367,Eva,35,Los Angeles,97515.2
368,Eva,58,Los Angeles,40423.95
369,Charlie,50,Houston,65796.55
370,Eva,24,Houston,82752.55
371,Charlie,63,New York,117594.26
372,David,28,New York,113709.94
373,Alice,39,Houston,52666.61
374,David,58,Phoenix,33317.1
375,David,32,Chicago,85428.04
376,Eva,60,Phoenix,86982.49
377,David,39,Los Angeles,119433.14
378,Eva,38,New York,92386.07
379,Eva,53,Los Angeles,97441.86
380,Charlie,48,Chicago,79056.77
381,Charlie,20,Houston,85488.44
382,Alice,52,Chicago,72111.9
383,Bob,25,Chicago,78157.82
384,Bob,18,New York,94464.94
385,Charlie,54,Phoenix,63271.93
386,Charlie,38,Phoenix,81911.07
387,Alice,52,New York,30980.14
388,Alice,60,Houston,72568.33
389,Bob,57,Los Angeles,72407.55
390,Bob,24,New York,64055.53
391,David,59,Chicago,57567.64
392,Eva,29,Los Angeles,60470.06
393,Charlie,50,Chicago,86272.47
394,Bob,54,Phoenix,61527.89
395,Alice,41,New York,111406.58
396,Eva,54,Los Angeles,81510.52
397,Alice,36,Phoenix,47532.15
398,Alice,20,Chicago,82169.65
399,Bob,54,New York,64024.83
400,David,21,Los Angeles,39656.95
401,David,33,Houston,51520.05
402,Charlie,26,Los Angeles,75584.57
403,Alice,25,Chicago,116710.83
404,Charlie,44,New York,31425.83
405,Eva,38,Houston,47863.64
406,David,35,Chicago,53767.19
407,Bob,35,Los Angeles,35800.44
408,Charlie,39,Los Angeles,62491.79
409,Charlie,58,Houston,75006.24
410,David,27,Los Angeles,85969.06
411,David,27,New York,110216.45
412,David,30,Houston,34202.22
413,Charlie,22,Los Angeles,111670.75
414,David,45,Phoenix,99010.01
415,David,20,Houston,74345.72
416,Bob,60,New York,52655.88
417,Alice,62,Chicago,59504.19
418,David,38,Los Angeles,69182.75
419,Alice,40,Phoenix,62682.05
420,Bob,43,New York,32880.93
421,Alice,58,Houston,52398.54
422,David,29,New York,57294.81
423,Charlie,44,Phoenix,54875.07
424,Eva,42,Phoenix,80427.75
425,Charlie,31,Phoenix,90985.17
426,David,22,New York,111906.51
427,Bob,48,Los Angeles,64020.08
428,Bob,61,New York,51239.14
429,David,29,New York,92902.94
430,Bob,33,Chicago,48641.43
431,Charlie,57,Phoenix,59965.22
432,Bob,55,Phoenix,44877.69
433,Eva,27,Phoenix,116643.0
434,Charlie,30,Phoenix,34528.55
435,Eva,54,Chicago,115750.99
436,Bob,55,Chicago,51901.12
437,Charlie,26,New York,111776.8
438,Charlie,41,Phoenix,109870.72
439,Bob,55,New York,69984.97
440,David,46,Los Angeles,67795.27
441,Eva,24,Los Angeles,100423.67
442,Eva,52,Chicago,32895.2
443,Charlie,44,Phoenix,35925.96
444,Charlie,61,Houston,110851.31
445,Charlie,44,Phoenix,72611.16
446,Charlie,49,New York,32700.7
447,Bob,54,New York,81681.74
448,Alice,53,Houston,94865.66
449,Alice,34,Los Angeles,115768.0
450,Charlie,51,Houston,53078.1
451,Bob,52,Chicago,71497.16
452,David,28,Phoenix,106933.07
453,Bob,18,Chicago,94849.66
454,Charlie,64,Houston,62809.24
455,Charlie,58,Chicago,40362.36
456,Eva,21,Los Angeles,108531.1
457,Charlie,21,Houston,117594.09
458,Charlie,36,Houston,84530.92
459,Eva,35,New York,93407.61
460,Alice,30,New York,80106.63
461,Eva,35,Los Angeles,94463.0
462,Bob,23,Los Angeles,61815.74
463,Bob,39,Houston,83007.96
464,Eva,59,Los Angeles,106908.87
465,Bob,55,New York,57631.43
466,Eva,44,Chicago,54528.21
467,Alice,64,Houston,50959.96
468,Eva,45,Houston,33782.81
469,Charlie,23,Phoenix,104835.17
470,Alice,39,Houston,87584.74
471,Eva,40,New York,114849.7
472,Charlie,61,Chicago,100944.76
473,Bob,30,Houston,86825.33
474,Charlie,22,Chicago,61917.77
475,Alice,53,Phoenix,119475.18
476,Bob,26,Los Angeles,109411.31
477,Eva,39,Houston,33371.67
478,Bob,29,Houston,59716.06
479,Eva,31,Houston,45991.27
480,David,31,Phoenix,76571.34
481,Eva,22,Houston,115470.19
482,Alice,23,Los Angeles,90676.13
483,Bob,54,Chicago,51340.38
484,Eva,28,Chicago,72748.77
485,Alice,41,Houston,77380.16
486,Alice,29,New York,96470.47
487,David,27,Chicago,42886.1
488,Charlie,26,New York,95188.4
489,Alice,21,Houston,61449.71
490,Bob,45,Chicago,61284.36
491,David,31,Chicago,105375.84
492,Bob,23,Phoenix,61043.97
493,David,40,Chicago,90540.43
494,Alice,49,Los Angeles,100430.14
495,Eva,47,New York,38865.31
496,Charlie,25,Phoenix,81554.44
497,David,18,Houston,57368.0
498,Alice,57,Houston,66522.5
499,David,49,Houston,99911.83
500,David,30,New York,78235.84
501,Eva,21,Los Angeles,109132.59
502,David,36,New York,102202.53
503,Eva,26,Phoenix,80905.02
504,Charlie,63,Chicago,99221.55
505,David,51,New York,48118.39
506,Charlie,50,Los Angeles,107684.87
507,Bob,43,Phoenix,38524.44
508,Eva,37,Los Angeles,88891.17
509,David,20,New York,77182.79
510,David,58,Chicago,91830.14
511,Bob,34,Houston,63336.14
512,Alice,54,Los Angeles,34136.06
513,Bob,52,Phoenix,49508.55
514,Charlie,36,New York,72510.88
515,Eva,35,Chicago,56222.89
516,Eva,39,Phoenix,114074.76
517,Eva,58,New York,50430.78
518,Bob,32,Chicago,43226.43
519,Alice,52,Los Angeles,74672.85
520,David,63,Houston,81002.32
521,Bob,49,Houston,60327.1
522,Alice,57,Houston,71254.06
523,Charlie,42,Chicago,45209.25
524,Alice,35,Houston,50071.2
525,David,32,Los Angeles,68990.6
526,Alice,36,New York,107247.13
527,Charlie,32,Los Angeles,75953.03
528,Bob,30,New York,52686.48
529,Alice,32,New York,107267.88
530,Charlie,57,Chicago,50844.58
531,Alice,20,Chicago,63708.44
532,Charlie,64,Houston,78697.15
533,David,60,Los Angeles,79427.89
534,Alice,30,Phoenix,98828.4
535,Charlie,21,Phoenix,93254.71
536,Bob,24,Houston,44760.27
537,Eva,25,Houston,72387.8
538,Charlie,36,New York,76875.89
539,Bob,60,Phoenix,59007.83
540,Bob,59,Los Angeles,110004.73
541,Charlie,43,New York,95244.67
542,Eva,60,New York,80141.13
543,Charlie,26,Phoenix,50551.1
544,David,20,Phoenix,93543.51
545,Bob,45,Houston,48048.76
546,Eva,24,Los Angeles,114853.69
547,David,21,Phoenix,88550.93
548,Bob,40,New York,74013.64
549,Alice,31,Houston,66901.08
550,Eva,37,Phoenix,46419.49
551,Charlie,23,Chicago,32572.34
552,David,36,Los Angeles,75720.23
553,Bob,41,Houston,35928.38
554,Charlie,35,Houston,107616.68
555,David,27,New York,109541.33
556,Charlie,56,Chicago,90852.71
557,David,18,New York,103064.42
558,Charlie,25,Los Angeles,37445.27
559,Bob,47,Phoenix,101031.97
560,Alice,18,New York,44289.04
561,Bob,41,Los Angeles,56693.56
562,Charlie,45,Phoenix,115680.34
563,Alice,38,Phoenix,108496.83
564,Alice,48,New York,34172.44
565,Eva,36,Chicago,107293.5
566,Eva,46,New York,98827.43
567,David,53,Chicago,92452.85
568,Alice,45,Chicago,54916.51
569,Alice,36,New York,65485.13
570,Eva,62,Los Angeles,99498.44
571,Bob,39,Houston,74296.15
572,Bob,60,New York,56919.28
573,Eva,20,Los Angeles,80300.55
574,Alice,41,Chicago,66148.09
575,Charlie,48,New York,110424.24
576,Charlie,55,Houston,46833.6
577,Bob,30,New York,42689.74
578,Alice,48,Houston,109609.56
579,Charlie,41,Houston,118420.62
580,Eva,18,Los Angeles,38079.59
581,Charlie,18,Chicago,116576.36
582,Eva,53,Houston,98569.09
583,Charlie,51,Houston,30269.41
584,Bob,52,Los Angeles,35308.25
585,Bob,23,Los Angeles,106015.31
586,Alice,28,Phoenix,91745.22
587,Bob,45,Chicago,67864.03
588,Alice,44,Los Angeles,43232.07
589,Bob,61,Chicago,93093.15
590,Charlie,51,Chicago,81976.27
591,Bob,54,Houston,50403.5
592,Alice,25,Chicago,34633.12
593,Charlie,36,Chicago,66349.28
594,Charlie,53,Los Angeles,70990.56
595,Alice,33,Los Angeles,66459.54
596,David,25,Los Angeles,78346.73
597,David,54,Houston,117614.19
598,Bob,60,Houston,108567.75
599,Charlie,53,Phoenix,48269.2
600,Bob,58,Phoenix,41328.79
601,Charlie,29,Houston,44412.66
602,Eva,49,Houston,50468.49
603,David,51,Phoenix,104480.3
604,David,24,Phoenix,56540.2
605,Bob,63,Phoenix,58288.73
606,Bob,39,Chicago,103254.48
607,Alice,60,New York,94607.66
608,Charlie,51,Houston,97338.73
609,Eva,28,Phoenix,51619.91
610,David,43,New York,43282.53
611,David,52,Chicago,88241.84
612,Alice,54,Chicago,59217.96
613,Eva,35,Phoenix,56885.94
614,Eva,45,Houston,33355.56
615,Charlie,49,Chicago,119894.12
616,Eva,59,Phoenix,51617.49
617,Bob,44,Phoenix,83850.29
618,Alice,58,Los Angeles,52356.36
619,David,44,Chicago,54221.3
620,Bob,21,Chicago,104746.1
621,Alice,20,Houston,90821.77
622,David,62,Los Angeles,61106.11
623,Bob,28,Phoenix,53680.46
624,Alice,58,Chicago,81935.28
625,Charlie,56,New York,109740.43
626,Alice,35,Los Angeles,46823.38
627,David,52,Houston,103310.59
628,David,45,Chicago,38399.51
629,Eva,58,Houston,92079.71
630,Alice,45,Houston,47497.81
631,Bob,34,Chicago,45694.57
632,David,20,Phoenix,75640.46
633,Alice,63,Houston,116250.47
634,Charlie,40,New York,32152.83
635,Alice,22,Los Angeles,83354.86
636,Charlie,26,Chicago,53538.35
637,Bob,37,Los Angeles,98008.86
638,Charlie,21,Los Angeles,48031.24
639,Eva,43,Los Angeles,90810.15
640,Charlie,60,Phoenix,56826.27
641,Alice,42,Chicago,74476.9
642,Alice,42,Phoenix,39127.2
643,Eva,52,Chicago,84380.13
644,Eva,64,New York,65116.57
645,David,59,Phoenix,94624.48
646,David,64,Phoenix,115946.74
647,Charlie,33,Los Angeles,71791.32
648,Charlie,47,New York,110984.76
649,David,60,Houston,61920.64
650,David,56,New York,51826.32
651,Bob,59,New York,49944.58
652,Eva,26,New York,103357.83
653,Bob,39,Chicago,63106.6
654,Eva,35,Phoenix,64421.89
655,Bob,60,New York,67704.62
656,Bob,25,Chicago,64993.27
657,Alice,31,Los Angeles,55921.9
658,Charlie,60,New York,60369.92
659,Charlie,47,Houston,35979.24
660,Charlie,33,Los Angeles,43008.61
661,Bob,19,Chicago,77283.62
662,Charlie,37,Los Angeles,79495.8
663,Bob,51,Houston,107498.72
664,David,39,Phoenix,92866.99
665,Eva,35,New York,35017.87
666,Eva,33,New York,119151.36
667,Alice,50,Los Angeles,47594.77
668,Charlie,44,Phoenix,61816.36
669,Charlie,39,Houston,48579.39
670,Charlie,32,Los Angeles,90985.6
671,David,51,Los Angeles,95579.65
672,Bob,41,Chicago,61697.99
673,Charlie,63,Chicago,96672.84
674,Eva,57,Phoenix,108804.77
675,Bob,21,New York,82788.98
676,Charlie,28,Phoenix,84334.33
677,David,46,New York,60770.68
678,Charlie,32,Chicago,96432.48
679,Alice,46,Phoenix,70509.79
680,Alice,18,New York,55503.05
681,Charlie,47,New York,69189.07
682,David,60,Los Angeles,111658.42
683,Alice,26,New York,35064.01
684,Bob,63,Phoenix,52079.8
685,Eva,54,Los Angeles,56676.33
686,Charlie,26,Houston,32313.86
687,Eva,37,Phoenix,98983.07
688,David,39,Chicago,51644.21
689,Eva,30,New York,85146.5
690,Bob,48,Phoenix,89300.56
691,Charlie,41,New York,106482.46
692,Bob,41,Chicago,39207.34
693,Alice,41,Houston,44283.28
694,Eva,20,New York,87776.66
695,Bob,50,New York,119004.15
696,Charlie,38,Los Angeles,32673.46
697,Eva,33,Houston,64019.31
698,Bob,19,Houston,77824.36
699,Alice,63,New York,65974.29
700,Eva,61,Los Angeles,81877.89
701,Bob,33,Chicago,84186.65
702,Bob,52,Chicago,72268.53
703,Eva,49,Houston,103720.17
704,Charlie,26,Los Angeles,108115.62
705,Charlie,46,Phoenix,49064.72
706,Charlie,62,Houston,42451.01
707,Bob,32,Los Angeles,75623.37
708,David,18,New York,48956.49
709,David,44,New York,104331.37
710,Eva,21,New York,46441.25
711,Bob,47,Chicago,49511.41
712,Charlie,59,Phoenix,77076.24
713,Alice,18,Phoenix,103082.68
714,Alice,58,Chicago,62456.11
715,Alice,35,Houston,46824.77
716,David,59,Los Angeles,105005.44
717,David,25,Los Angeles,30539.53
718,Charlie,53,Chicago,98537.06
719,Eva,60,Los Angeles,54671.78
720,Bob,18,Phoenix,31285.34
721,David,38,Houston,75045.99
722,David,62,Chicago,68826.61
723,Alice,35,Phoenix,69311.09
724,Charlie,22,Houston,80850.59
725,Bob,22,Phoenix,44147.98
726,Charlie,20,Los Angeles,50040.36
727,Charlie,64,Houston,61349.31
728,David,55,Chicago,75469.45
729,Eva,44,Phoenix,103485.44
730,Bob,54,New York,71508.41
731,Alice,43,Los Angeles,57314.41
732,Eva,22,Phoenix,66596.62
733,Eva,31,Phoenix,75266.26
734,David,64,Phoenix,74653.31
735,Eva,38,Houston,62134.52
736,Alice,24,Houston,110681.54
737,David,51,Houston,44309.42
738,David,35,Phoenix,46145.47
739,Bob,38,Chicago,75927.05
740,Eva,54,Houston,79459.79
741,Alice,48,Los Angeles,99499.92
742,Bob,58,Phoenix,60586.27
743,Charlie,26,Chicago,48029.76
744,Charlie,56,Houston,60735.15
745,Bob,43,Chicago,48428.5
746,Charlie,28,New York,108959.18
747,Bob,58,Chicago,74956.22
748,Bob,63,Phoenix,58824.12
749,David,55,Los Angeles,57693.94
750,Bob,25,Chicago,69402.9
751,Charlie,30,New York,107899.17
752,Charlie,43,Houston,102666.66
753,Eva,26,Phoenix,56928.26
754,David,45,Los Angeles,78995.37
755,Alice,58,Phoenix,112126.34
756,Alice,29,New York,60591.3
757,Bob,54,Houston,111196.75
758,David,37,Los Angeles,88079.5
759,David,24,Houston,85157.31
760,Bob,51,Los Angeles,40077.97
761,Bob,25,Houston,56120.33
762,Charlie,30,Houston,44248.39
763,David,37,Phoenix,110215.67
764,Bob,31,Phoenix,107653.14
765,Bob,38,New York,75047.03
766,David,63,Phoenix,119342.27
767,Bob,46,Los Angeles,113045.86
768,Eva,46,Los Angeles,92256.9
769,Eva,51,Houston,36280.77
770,Alice,23,Chicago,105538.24
771,Bob,50,New York,40389.68
772,Alice,57,New York,45716.32
773,David,56,Chicago,34153.2
774,Charlie,24,New York,83226.13
775,David,19,Chicago,82184.76
776,David,34,New York,105666.47
777,David,31,Los Angeles,71325.68
778,Alice,54,New York,80557.97
779,Charlie,41,Houston,44090.04
780,Alice,23,Phoenix,79535.81
781,Alice,30,Los Angeles,118637.83
782,Bob,18,Chicago,85355.25
783,Alice,40,Phoenix,90159.59
784,Bob,55,Phoenix,115963.87
785,Eva,39,New York,99908.63
